group,order,k,d_orb,rho_t1,baseline_t1,delta_t1,rho_t5,baseline_t5,delta_t5
Trivial {e},1,25,1,0.9600000000000003,0.96,3.3306690738754696e-16,0.8,0.8,0.0
Z2 (T),2,15,2,0.9573,0.96,-0.0026999999999999247,0.7972999999999999,0.8,-0.0027000000000001467
Z2 (R180),2,13,2,0.9611,0.96,0.0010999999999999899,0.79,0.8,-0.010000000000000009
"Klein (T,R180)",4,9,2,0.9836,0.96,0.023600000000000065,0.9164999999999999,0.8,0.11649999999999983
"Klein (Rh,Rv)",4,9,2,0.9858000000000001,0.96,0.025800000000000156,0.9209,0.8,0.12090000000000001
Z4 (R90),4,7,4,0.9984999999999999,0.96,0.03849999999999998,0.9783,0.8,0.1782999999999999
"D4 (R90,T)",8,6,4,0.9990000000000001,0.96,0.039000000000000146,0.9847,0.8,0.18469999999999998
"Z2^3 (T,R180,Rh)",8,6,4,0.9984000000000001,0.96,0.0384000000000001,0.9842,0.8,0.18419999999999992
"D8 (R90,T,Rh)",16,6,4,0.9987,0.96,0.03870000000000007,0.9803000000000001,0.8,0.18030000000000002
