group,order,n_orbits,d_orb,t_star_50,t_star_90
Trivial {e},1,25,1,13,3
Z2 (T),2,15,2,13,3
Z2 (R180),2,13,2,13,3
"Klein (T, R180)",4,9,2,16,6
"Klein (Rh, Rv)",4,9,2,16,6
Z4 (R90),4,7,4,17,9
"D4 (R90, T)",8,6,4,19,11
"Z2³ (T,R180,Rh)",8,6,4,18,11
"D8 (R90,T,Rh)",16,6,4,18,10
