group,order,var_freq_fix,var_trans_fix,var_freq_rnd,var_trans_rnd,in_F_freq,in_F_trans
Trivial {e},1,1.08764197307347e-31,0.002914396055489111,1.00579765415679e-31,0.0027813021328147985,YES,~YES
Z2 (T),2,3.3526588471893004e-32,0.003516397344987093,9.900204360523698e-32,0.0030242291900146366,YES,~YES
Z2 (R180),2,2.6722663164361777e-32,0.006875409216344054,9.712849895533708e-32,0.003018058996708932,YES,~YES
"Klein (T,R180)",4,1.00579765415679e-32,0.0009906813360965473,1.0925723537311014e-31,0.002834311436468232,YES,YES
Z4 (R90),4,4.141519752410312e-33,0.00024298253311855512,1.1231407138084156e-31,0.0029409897517586056,YES,YES
"D4 (R90,T)",8,0.0,0.0,1.0975027343887327e-31,0.0029322304881134052,YES,YES
"Z2^3 (T,R180,Rh)",8,0.0,0.0,1.0472128516808932e-31,0.0029168176982206423,YES,YES
"D8 (R90,T,Rh)",16,0.0,0.0,1.050171080075472e-31,0.0028331332027106975,YES,YES
