group,order,H_local_stability,H_global_stability
None (global),0,0.023079310149446326,0.023079310149446326
Z2 (T),2,0.03023940468729867,0.02228545080353051
"Klein (T, R180)",4,0.029286475406791534,0.02399429784898803
"D4 (R90, T)",8,0.035155938992266086,0.028174918207018774
